variable_name,units,value,uncertainty
fuel_type,--,df,
fuel_source,--,,
fuel_dimensions,cmxcmxcm,,
fuel_mc,%,14,
fuel_heating_value,kJ/kg,30288,
char_heating_value,kJ/kg,31300,
boil_temp,ºC,96.12083231400032,
pot1_dry_mass,lb,234.14,
pot2_dry_mass,kg,,
pot3_dry_mass,kg,,
pot4_dry_mass,kg,,
initial_air_temp,ºC,19,
initial_RH,%,60,
initial_pressure,in Hg,26,
initial_wind_velocity,m/s,,
start_time_L1,hh:mm:ss,13:16:25,
initial_fuel_mass_L1,lb,12.452,
initial_water_temp_pot1_L1,ºC,,
initial_water_temp_pot2_L1,ºC,,
initial_water_temp_pot3_L1,ºC,,
initial_water_temp_pot4_L1,ºC,,
initial_pot1_mass_L1,lb,246,
initial_pot2_mass_L1,kg,,
initial_pot3_mass_L1,kg,,
initial_pot4_mass_L1,kg,,
initial_char_mass_L1,kg,,
fire_start_material_L1,--,.155 paper,
boil_time_L1,hh:mm:ss,,
weight_L1,,1,
weight_hp,,1,
weight_mp,,,
weight_lp,,,
weight_L5,,1,
weight_total,,3,
final_air_temp,ºC,,
final_RH,%,,
final_pressure,in Hg,,
final_wind_velocity,m/s,,
end_time_L1,hh:mm:ss,14:29:00,
final_fuel_mass_L1,lb,3.1200000000000045,
max_water_temp_pot1_L1,ºC,,
max_water_temp_pot2_L1,ºC,,
max_water_temp_pot3_L1,ºC,,
max_water_temp_pot4_L1,ºC,,
final_pot1_mass_L1,lb,237.26,
final_pot2_mass_L1,kg,,
final_pot3_mass_L1,kg,,
final_pot4_mass_L1,kg,,
final_char_mass_L1,kg,,
start_time_hp,hh:mm:ss,14:29:00,
initial_fuel_mass_hp,lb,21.02,
initial_water_temp_pot1_hp,ºC,,
initial_water_temp_pot2_hp,ºC,,
initial_water_temp_pot3_hp,ºC,,
initial_water_temp_pot4_hp,ºC,,
initial_pot1_mass_hp,lb,257.78,
initial_pot2_mass_hp,kg,,
initial_pot3_mass_hp,kg,,
initial_pot4_mass_hp,kg,,
initial_char_mass_hp,kg,,
fire_start_material_hp,--,,
boil_time_hp,hh:mm:ss,,
end_time_hp,hh:mm:ss,16:16:00,
final_fuel_mass_hp,lb,2.0600000000000023,
max_water_temp_pot1_hp,ºC,,
max_water_temp_pot2_hp,ºC,,
max_water_temp_pot3_hp,ºC,,
max_water_temp_pot4_hp,ºC,,
final_pot1_mass_hp,lb,236.2,
final_pot2_mass_hp,kg,,
final_pot3_mass_hp,kg,,
final_pot4_mass_hp,kg,,
final_char_mass_hp,kg,,
start_time_mp,hh:mm:ss,,
initial_fuel_mass_mp,lb,,
initial_water_temp_pot1_mp,ºC,,
initial_water_temp_pot2_mp,ºC,,
initial_water_temp_pot3_mp,ºC,,
initial_water_temp_pot4_mp,ºC,,
initial_pot1_mass_mp,lb,,
initial_pot2_mass_mp,kg,,
initial_pot3_mass_mp,kg,,
initial_pot4_mass_mp,kg,,
initial_char_mass_mp,kg,,
fire_start_material_mp,--,,
boil_time_mp,hh:mm:ss,,
end_time_mp,hh:mm:ss,,
final_fuel_mass_mp,lb,-234.14,
max_water_temp_pot1_mp,ºC,,
max_water_temp_pot2_mp,ºC,,
max_water_temp_pot3_mp,ºC,,
max_water_temp_pot4_mp,ºC,,
final_pot1_mass_mp,lb,,
final_pot2_mass_mp,kg,,
final_pot3_mass_mp,kg,,
final_pot4_mass_mp,kg,,
final_char_mass_mp,kg,,
start_time_lp,hh:mm:ss,,
initial_fuel_mass_lp,lb,,
initial_water_temp_pot1_lp,ºC,,
initial_water_temp_pot2_lp,ºC,,
initial_water_temp_pot3_lp,ºC,,
initial_water_temp_pot4_lp,ºC,,
initial_pot1_mass_lp,lb,,
initial_pot2_mass_lp,kg,,
initial_pot3_mass_lp,kg,,
initial_pot4_mass_lp,kg,,
initial_char_mass_lp,kg,,
fire_start_material_lp,--,,
boil_time_lp,hh:mm:ss,,
end_time_lp,hh:mm:ss,,
final_fuel_mass_lp,lb,-234.14,
max_water_temp_pot1_lp,ºC,,
max_water_temp_pot2_lp,ºC,,
max_water_temp_pot3_lp,ºC,,
max_water_temp_pot4_lp,ºC,,
final_pot1_mass_lp,lb,,
final_pot2_mass_lp,kg,,
final_pot3_mass_lp,kg,,
final_pot4_mass_lp,kg,,
final_char_mass_lp,kg,,
start_time_L5,hh:mm:ss,16:17:00,
initial_fuel_mass_L5,lb,21,
initial_water_temp_pot1_L5,ºC,,
initial_water_temp_pot2_L5,ºC,,
initial_water_temp_pot3_L5,ºC,,
initial_water_temp_pot4_L5,ºC,,
initial_pot1_mass_L5,lb,257.2,
initial_pot2_mass_L5,kg,,
initial_pot3_mass_L5,kg,,
initial_pot4_mass_L5,kg,,
initial_char_mass_L5,kg,,
fire_start_material_L5,--,,
boil_time_L5,hh:mm:ss,,
end_time_L5,hh:mm:ss,16:18:00,
final_fuel_mass_L5,lb,236.2,
max_water_temp_pot1_L5,ºC,,
max_water_temp_pot2_L5,ºC,,
max_water_temp_pot3_L5,ºC,,
max_water_temp_pot4_L5,ºC,,
final_pot1_mass_L5,lb,236.2,
final_pot2_mass_L5,kg,,
final_pot3_mass_L5,kg,,
final_pot4_mass_L5,kg,,
final_char_mass_L5,kg,,
Hvap,kJ/kg,2266.6915642583494,0.0
phase_time_L1,min,72.58333333333333,
time_to_boil_L1,min,,
fuel_mass_lb_L1,lb,9.331999999999995,0.0
fuel_mass_L1,kg,4.232920543999998,0.0
fuel_dry_mass_L1,kg,3.640311667839998,0.0
char_mass_L1,kg,,
initial_water_mass_pot1_L1,kg,11.860000000000014,0.0
final_water_mass_pot1_L1,kg,3.1200000000000045,0.0
useful_energy_delivered_pot1_L1,kJ,,
initial_water_mass_pot2_L1,kg,,
final_water_mass_pot2_L1,kg,,
useful_energy_delivered_pot2_L1,kJ,,
initial_water_mass_pot3_L1,kg,,
final_water_mass_pot3_L1,kg,,
useful_energy_delivered_pot3_L1,kJ,,
initial_water_mass_pot4_L1,kg,,
final_water_mass_pot4_L1,kg,,
useful_energy_delivered_pot4_L1,kJ,,
useful_energy_delivered_L1,kJ,,
cooking_power_L1,kW,,
eff_wo_char_L1,%,,
eff_w_char_L1,%,,
char_energy_productivity_L1,%,,
char_mass_productivity_L1,%,,
burn_rate_L1,g/min,58.31807867738229,0.0
burn_rate_dry_L1,g/min,50.153547662548775,0.0
firepower_L1,kW,25.317510860054618,0.0
phase_time_hp,min,107.0,
time_to_boil_hp,min,,
fuel_mass_lb_hp,lb,18.959999999999997,0.0
fuel_mass_hp,kg,8.600104319999998,0.0
fuel_dry_mass_hp,kg,7.396089715199998,0.0
char_mass_hp,kg,,
