variable_name,units,value,uncertainty
fuel_type,--,,
fuel_source,--,,
fuel_dimensions,cmxcmxcm,,
fuel_mc,%,12.5,
fuel_heating_value,kJ/kg,19314,
char_heating_value,kJ/kg,31300,
boil_temp,ºC,99.4,
pot1_dry_mass,kg,1.953,
pot2_dry_mass,kg,,
pot3_dry_mass,kg,,
pot4_dry_mass,kg,,
initial_air_temp,ºC,,
initial_RH,%,,
initial_pressure,inHg,29.3,
initial_wind_velocity,m/s,,
start_time_hp,hh:mm:ss,11:29:00,
initial_fuel_mass_hp,kg,0.531,
initial_water_temp_pot1_hp,ºC,21.1,
initial_water_temp_pot2_hp,ºC,,
initial_water_temp_pot3_hp,ºC,,
initial_water_temp_pot4_hp,ºC,,
initial_pot1_mass_hp,kg,8.375,
initial_pot2_mass_hp,kg,,
initial_pot3_mass_hp,kg,,
initial_pot4_mass_hp,kg,,
initial_char_mass_hp,kg,0.383,
fire_start_material_hp,--,paper,
boil_time_hp,hh:mm:ss,,
max_water_temp_pot1_hp,ºC,98.7,
max_water_temp_pot2_hp,ºC,,
max_water_temp_pot3_hp,ºC,,
max_water_temp_pot4_hp,ºC,,
weight_hp,,1,
weight_mp,,1,
weight_lp,,1,
weight_total,,3,
final_air_temp,ºC,,
final_RH,%,,
final_pressure,inHg,,
final_wind_velocity,m/s,,
end_time_hp,hh:mm:ss,11:58:47,
final_fuel_mass_hp,kg,0.214,
final_water_temp_pot1_hp,ºC,98.7,
final_water_temp_pot2_hp,ºC,,
final_water_temp_pot3_hp,ºC,,
final_water_temp_pot4_hp,ºC,,
final_pot1_mass_hp,kg,8.129,
final_pot2_mass_hp,kg,,
final_pot3_mass_hp,kg,,
final_pot4_mass_hp,kg,,
final_char_mass_hp,kg,0.39,
start_time_mp,hh:mm:ss,12:07:10,
initial_fuel_mass_mp,kg,0.471,
initial_water_temp_pot1_mp,ºC,22.2,
initial_water_temp_pot2_mp,ºC,,
initial_water_temp_pot3_mp,ºC,,
initial_water_temp_pot4_mp,ºC,,
initial_pot1_mass_mp,kg,8.375,
initial_pot2_mass_mp,kg,,
initial_pot3_mass_mp,kg,,
initial_pot4_mass_mp,kg,,
initial_char_mass_mp,kg,0.383,
fire_start_material_mp,--,,
boil_time_mp,hh:mm:ss,,
max_water_temp_pot1_mp,ºC,98.6,
max_water_temp_pot2_mp,ºC,,
max_water_temp_pot3_mp,ºC,,
max_water_temp_pot4_mp,ºC,,
end_time_mp,hh:mm:ss,12:37:15,
final_fuel_mass_mp,kg,0.14900000000000002,
final_water_temp_pot1_mp,ºC,98.6,
final_water_temp_pot2_mp,ºC,,
final_water_temp_pot3_mp,ºC,,
final_water_temp_pot4_mp,ºC,,
final_pot1_mass_mp,kg,8.123,
final_pot2_mass_mp,kg,,
final_pot3_mass_mp,kg,,
final_pot4_mass_mp,kg,,
final_char_mass_mp,kg,0.39,
start_time_lp,hh:mm:ss,12:39:44,
initial_fuel_mass_lp,kg,0.628,
initial_water_temp_pot1_lp,ºC,96.9,
initial_water_temp_pot2_lp,ºC,,
initial_water_temp_pot3_lp,ºC,,
initial_water_temp_pot4_lp,ºC,,
initial_pot1_mass_lp,kg,8.123,
initial_pot2_mass_lp,kg,,
initial_pot3_mass_lp,kg,,
initial_pot4_mass_lp,kg,,
initial_char_mass_lp,kg,0.383,
fire_start_material_lp,--,,
boil_time_lp,hh:mm:ss,,
max_water_temp_pot1_lp,ºC,96.4,
max_water_temp_pot2_lp,ºC,,
max_water_temp_pot3_lp,ºC,,
max_water_temp_pot4_lp,ºC,,
end_time_lp,hh:mm:ss,13:24:44,
final_fuel_mass_lp,kg,0.42400000000000004,
final_water_temp_pot1_lp,ºC,96.4,
final_water_temp_pot2_lp,ºC,,
final_water_temp_pot3_lp,ºC,,
final_water_temp_pot4_lp,ºC,,
final_pot1_mass_lp,kg,7.353,
final_pot2_mass_lp,kg,,
final_pot3_mass_lp,kg,,
final_pot4_mass_lp,kg,,
final_char_mass_lp,kg,0.389,
Hvap,kJ/kg,2261.035,0.0
phase_time_hp,min,29.783333333333335,
time_to_boil_hp,min,,
fuel_mass_hp,kg,0.31700000000000006,0.0
fuel_dry_mass_hp,kg,0.27737500000000004,0.0
char_mass_hp,kg,0.007000000000000006,0.0
initial_water_mass_pot1_hp,kg,6.422,0.0
final_water_mass_pot1_hp,kg,6.175999999999999,0.0
useful_energy_delivered_pot1_hp,kJ,2639.3059060000005,0.0
initial_water_mass_pot2_hp,kg,,
final_water_mass_pot2_hp,kg,,
useful_energy_delivered_pot2_hp,kJ,,
initial_water_mass_pot3_hp,kg,,
final_water_mass_pot3_hp,kg,,
useful_energy_delivered_pot3_hp,kJ,,
initial_water_mass_pot4_hp,kg,,
final_water_mass_pot4_hp,kg,,
useful_energy_delivered_pot4_hp,kJ,,
useful_energy_delivered_hp,kJ,2639.3059060000005,0.0
cooking_power_hp,kW,1.476947904868495,0.0
eff_wo_char_hp,%,43.10803634048494,0.0
eff_w_char_hp,%,44.707946555888284,0.0
char_energy_productivity_hp,%,3.5785813007612224,0.0
char_mass_productivity_hp,%,2.208201892744481,0.0
burn_rate_hp,g/min,10.643536653609402,0.0
burn_rate_dry_hp,g/min,9.313094571908227,0.0
