time,seconds,CO,CO2,PM,Flow,FLUEtemp,H2Otemp,RH,COtemp,TC1,dP2,O2_1,O2_2,O2_3,O2_4,datenumbers,phase,COmass,CO2mass,PMmass,MCE,MW_duct,density,mass_flow,mole_flow,vol_flow,totvol,CO_ER,CO2_ER,PM_ER,C_ER,CO_ER_min,CO2_ER_min,PM_ER_min,CO_ER_hr,CO2_ER_hr,PM_ER_hr,firepower_carbon,CO_totmass,CO2_totmass,PM_totmass
yyyymmdd hhmmss,s,ppm,ppm,Mm^-1,mmH2O,C,C,%,C,C,mmH2O,lambda,lambda,lambda,lambda,date,text,gm^-3,gm^-3,gm^-3,mol/mol,g/mol,gm^-3,g/sec,mol/sec,m^3/sec,m^3,g/sec,g/sec,g/sec,g/sec,g/min,g/min,g/min,g/hr,g/hr,g/hr,W,g,g,g
20230727 11:29:00,928.0,-0.024053380281690184,36.64788732394368,647.4295774647908,7.71398,21.2233369,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47847222222,hp,(-2.731085581213871+/-0)e-05,0.06538022263911997+/-0,0.0002848259051804716+/-0,1.0006567684944916,29.0,1175.5580531881421+/-0,154.78963579912048,5.337573648245534,0.13167332347333013,0.13167332347333013,-3.5961111516852192e-06,0.008608831204319186,3.750397354641229e-05,0.00234774375557448,-0.00021576666910111316,0.5165298722591511,0.0022502384127847377,-0.01294600014606679,30.991792335549068,0.13501430476708426,90.68864579033101,-3.5961111516852192e-06,0.008608831204319186,3.750397354641229e-05
20230727 11:29:04,932.0,-0.008313380281690153,32.64788732394368,782.4295774647908,7.43458,21.230934299999998,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478518518517,hp,(-9.438992271431642+/-0)e-06,0.05824267672229404+/-0,0.0003442169162460029+/-0,1.0002547024754687,29.0,1175.5277143186274+/-0,151.95858450233453,5.239951189735674,0.1292683980576455,0.6487469157039122,-1.2201634102064652e-06,0.0075289375184802694,4.4496369347463525e-05,0.0020540675895658706,-7.32098046123879e-05,0.45173625110881616,0.0026697821608478115,-0.004392588276743274,27.10417506652897,0.1601869296508687,79.34452284975045,-8.47676479251108e-06,0.038724581278240265,0.00021548945093626638
20230727 11:29:08,936.0,0.054646619718309836,32.64788732394368,647.4295774647908,7.29996,21.234733,21.2,50.9,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478564814814,hp,(6.204484190246188+/-0)e-05,0.058241925166825075+/-0,0.0002848259051804716+/-0,0.9983289790383689,29.0,1175.512545471103+/-0,150.5755499628175,5.19226034354543,0.12809352868494672,1.1611210304436992,7.947542735985986e-06,0.0074604137120232285,3.648435525545065e-05,0.0020392988422507853,0.0004768525641591591,0.4476248227213937,0.002189061315327039,0.028611153849549546,26.857489363283623,0.13134367891962234,78.77403567846333,2.3313406151432865e-05,0.06856623612633318,0.000361426871958069
20230727 11:29:12,940.0,0.07038661971830984,29.647887323943678,1052.4295774647908,7.058659999999999,21.2385317,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47861111111,hp,(7.991473878730225+/-0)e-05,0.05288941781394845+/-0,0.00046299893837706556+/-0,0.9976315374220002,29.0,1175.497377015047+/-0,148.0650465613185,5.105691260735121,0.12595948698524673,1.664958978384686,1.006601950020859e-05,0.006661923934793317,5.831910875268904e-05,0.0018223053020150297,0.0006039611700125154,0.399715436087599,0.0034991465251613422,0.03623767020075093,23.98292616525594,0.20994879150968054,70.39200920623657,6.357748415226723e-05,0.09521393186550645,0.0005947033069688252
20230727 11:29:16,944.0,0.03890661971830983,37.64788732394368,647.4295774647908,7.2034400000000005,21.2423304,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478657407406,hp,(4.41727738100882+/-0)e-05,0.06715990004785087+/-0,0.0002848259051804716+/-0,0.9989676325405532,29.0,1175.4822089504444+/-0,149.574853248419,5.157753560290311,0.12724552707775158,2.1739410866956925,5.6207878859509745e-06,0.008545796880077897,3.6242822430086805e-05,0.0023344941396225873,0.0003372472731570585,0.5127478128046739,0.002174569345805208,0.02023483638942351,30.76486876828043,0.1304741607483125,90.1768396253413,8.606063569607113e-05,0.12939711938581805,0.0007396745966891724
20230727 11:29:20,948.0,0.08612661971830984,29.647887323943678,512.4295774647908,7.34568,21.2461291,21.2,50.8,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478703703702,hp,(9.778291275801438+/-0)e-05,0.052888052911277586+/-0,0.00022543489411494026+/-0,0.9971034311115379,29.0,1175.4670412772796+/-0,151.0434213734335,5.2083938404632235,0.12849651761337988,2.687927157149212,1.2564763771497784e-05,0.006795930622451347,2.896759884231085e-05,0.0018599461254677641,0.0007538858262898671,0.4077558373470808,0.001738055930538651,0.04523314957739202,24.46535024082485,0.10428335583231906,71.8459989345688,0.00013631969078206226,0.15658084187562343,0.0008555449920584159
20230727 11:29:24,952.0,0.07038661971830984,25.647887323943678,647.4295774647908,7.25678,21.2461291,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47875,hp,(7.991267644959992+/-0)e-05,0.045752562637262+/-0,0.0002848259051804716+/-0,0.9972631670433055,29.0,1175.4670412772796+/-0,150.12664887969962,5.176780995851711,0.1277165957086894,3.1987935399839698,1.0206174990112858e-05,0.005843361544979679,3.637699497929579e-05,0.001598985840289868,0.0006123704994067715,0.3506016926987807,0.0021826196987577476,0.036742229964406285,21.03610156192684,0.13095718192546485,61.765625038717026,0.00017714439074251369,0.17995428805554214,0.001001052971975599
20230727 11:29:28,956.0,0.054646619718309836,39.64788732394368,647.4295774647908,7.513319999999999,21.2423304,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.478796296295,hp,(6.204324070761676+/-0)e-05,0.07072769122136185+/-0,0.0002848259051804716+/-0,0.9986235986903038,29.0,1175.4822089504444+/-0,152.75820868624047,5.267524437456568,0.1299536543582689,3.7186081574170453,8.062745858184507e-06,0.009191321938539228,3.7014167234104076e-05,0.002511700154004033,0.0004837647514910704,0.5514793163123537,0.0022208500340462445,0.029025885089464225,33.088758978741225,0.13325100204277468,97.02195354886778,0.0002093953741752517,0.21671957580969906,0.0011491096409120155
20230727 11:29:32,960.0,0.054646619718309836,32.64788732394368,647.4295774647908,7.17804,21.2499278,21.2,50.7,23.0,65536.0,1664614.4,3.9,3.7,3.5,2.9,19565.47884259259,hp,(6.204163959541382+/-0)e-05,0.05823891913889857+/-0,0.0002848259051804716+/-0,0.9983289790383689,29.0,1175.4518739955379+/-0,149.30898634486098,5.148585736029689,0.1270226281892233,4.226698670173938,7.880692118578043e-06,0.007397660571922555,3.617933505239802e-05,0.002022145315530322,0.0004728415271146826,0.4438596343153533,0.002170760103143881,0.028370491626880958,26.6315780589212,0.13024560618863285,78.11142924830527,0.0002409181426495639,0.2463102180973893,0.0012938269811216074
